assemble, 조립하다
attribute, (원인을) ~ 탓하다
automate, 자동화하다
capable, ~할 수 있는
capacity, 수용력
carelessly, 부주의하게
chemical, 화학 제품
coming, 다가오는
comparable, 필적하는, 비교되는
damaged, 손상된
device, 장치
discontinue, 중단하다
efficiency, 효율
equipment, 장비, 설비
evidently, 분명히
fabricate, 제작하다
facility, 시설
fill, ~을 채우다
finished, 완성된
halt, 중단, 정지
launch, 출시하다
material, 재료
operate, 작동하다
operational, 작동하는
place, ~한 상태에 두다
power, 전력, 전기
precaution, 예방 조치
prevent, ~을 막다
processing, 처리, 가공
procurement, (필수품의)조달
produce, 생산하다
properly, 제대로
protective, 보호하는
quota, 할당량
safety, 안전
separately, 개별적으로
specification, 명세서, 설명서
stage, 단계
tolerance, 관용
utilize, 이용하다
concentration, 집중
feasibility, 사용 가능한
affirmation, 단언
connectivity, 연결도
intentions, 의도
inquiries, 문의 사항
throries, 이론
principles, 원리
account, 설명하다
engrave, 조각하다
confirm, 확인하다
expect, 예상하다
possession, 소유
impression, 인상
suppression, 억압
premission, 허락
