affordable, 알맞은
alter, 고치다
apparel, 의복, 의류
apply, 적용하다, 지원하다
area, 지역
auction, 경매
authentic, 진짜의
benefit, 혜택, 이익
carefully, 주의 깊게
charge, 요금, 책임
delivery, 배달
description, 설명서, 해설
dilute, 희석하다
equivalent, ~에 상당하는
exactly, 정확히
exclusively, 독점적으로
exquisite, 정교한, 우아한
fit, ~에 꼭 맞다
installment, 할부
lately, 최근에
merchandise, 상품
method, 방법
notice, 통지
offer, 제공하다
officially, 공식적으로
price, 가격
purchase, 구매하다
readily, 즉시, 손쉽게
receipt, 영수증
redeeemable, 상환할 수 있는
refund, 환불
relatively, 상대적으로
scent, 향기, 냄새
sturdy, 튼튼한
tax, 세금
thrifty, 검소한
valid, 유효한
value, 가치
voucher, 상품권
warranty, 보증, 보증서
